Decade,State,Enc_Solved,Enc_NoSolved,Population Density,Resident Population,Casos Totales,Porcentaje Resueltos,Porcentaje No Resueltos
2010,Missouri,2346,974,87.1,5988927,3320,70.66265060240964,29.337349397590362
2010,Montana,284,19,6.8,989415,303,93.72937293729373,6.270627062706271
2010,Nebraska,294,141,23.8,1826341,435,67.58620689655173,32.41379310344827
2010,Nevada,1375,424,24.6,2700551,1799,76.4313507504169,23.5686492495831
2010,New Hampshire,188,16,147.0,1316470,204,92.15686274509804,7.8431372549019605
2010,New Jersey,1410,1424,1195.5,8791894,2834,49.752999294283704,50.2470007057163
2010,New Mexico,970,202,17.0,2059179,1172,82.76450511945393,17.235494880546078
2010,New York,2999,1442,411.2,19378102,4441,67.52983562260752,32.47016437739248
2010,North Carolina,2707,1020,196.1,9535483,3727,72.63214381540112,27.36785618459887
2010,North Dakota,180,2,9.7,672591,182,98.9010989010989,1.098901098901099
2010,Ohio,3514,1699,282.3,11536504,5213,67.40840207174372,32.591597928256284
2010,Oklahoma,1384,250,54.7,3751351,1634,84.7001223990208,15.299877600979192
2010,Oregon,852,109,39.9,3831074,961,88.6576482830385,11.342351716961499
2010,Pennsylvania,3623,2502,283.9,12702379,6125,59.15102040816327,40.84897959183674
2010,South Carolina,3169,567,153.9,4625364,3736,84.82334047109208,15.176659528907924
2010,South Dakota,212,10,10.7,814180,222,95.4954954954955,4.504504504504505
2010,Tennessee,3875,844,153.9,6346105,4719,82.11485484212757,17.885145157872433
2010,Texas,4886,1170,96.3,25145561,6056,80.68031704095112,19.31968295904888
2010,Utah,595,51,33.6,2763885,646,92.10526315789474,7.894736842105263
2010,Vermont,108,13,67.9,625741,121,89.25619834710744,10.743801652892563
2010,Virginia,3246,797,202.6,8001024,4043,80.28691565669057,19.713084343309422
2010,Washington,1719,340,101.2,6724540,2059,83.48712967459933,16.51287032540068
2010,West Virginia,653,100,77.1,1852994,753,86.71978751660026,13.280212483399733
2010,Wisconsin,1696,297,105.0,5686986,1993,85.09784244856999,14.902157551430003
2010,Wyoming,117,11,5.8,563626,128,91.40625,8.59375
